Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,
58566.84936,6.57,10,2,39705.46496,102681,"7896 Walker Spring
Loriport, MH 72956",
75537.79451,7.84,1,5,32778.19534,176221,"549 Darren Plaza
Lake Kevin, UT 27155",
46147.05306,6.62,8,11,27161.12861,882057,"90634 Michelle Valleys
North Victoria, WV 99370",
70421.47649,6.9,4,4,43183.92849,174493,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802",
62614.42062,5.49,11,20,26888.57956,115387,"43087 Jerome Field
West Deborah, SD 49213",
66394.87159,7.06,15,4,39741.07751,149998,"71956 Jenkins Fall
Brooketown, PW 67485-0764",
73946.85107,4.86,18,17,35261.12702,110958,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027",
69144.74571,7.29,1,4,19030.61549,980177,"Unit 8108 Box 5159
DPO AP 04678",
77278.69703,6.23,18,8,21725.95429,132395,"08639 Garcia Port
Anthonybury, CT 17971",
86754.19663,6.6,19,13,43017.44076,166249,"91863 Curtis Point
New Richard, AK 99996-7554",
74399.84098,6.38,6,5,41084.66282,141781,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656",
49408.19834,5.82,2,8,26881.1306,549976,"7796 Joseph Burg
Danielsside, RI 70370",
62279.79005,6.1,13,19,35263.65314,105477,"173 Mendoza Land
West John, NJ 57690",
73078.20409,5.92,11,4,54915.96178,141564,"3288 Lee Pass
South Julieton, PW 02759-4964",
72942.70506,4.78,12,10,24377.90905,948788,"86908 Marshall Port Suite 252
Scotttown, NM 69143",
63819.62285,5.94,13,20,27825.57206,115959,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266",
73265.44989,8.31,3,2,21030.96618,154713,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754",
68488.13117,6.11,8,10,18267.95471,118668,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955",
55193.85745,7.18,7,9,32537.81877,772111,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699",
77434.68924,6.3,7,15,36252.34068,117273,"4872 Delgado Ramp
North James, IA 36544",
66158.88159,4.47,11,15,37098.74217,111108,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536",
60502.90933,7.53,11,12,33579.63151,102278,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884",
60910.89379,5.63,12,9,43347.804,127447,"PSC 9354, Box 0703
APO AA 58696-1278",
73931.97852,6.39,2,7,36543.06728,121353,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847",
59539.94845,6.01,11,10,58600.82715,141173,"122 Russo Neck
South Kevin, KY 20712-5282",
56547.50719,5.43,10,6,37585.27458,858685,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460",
65950.34702,5.47,18,13,40110.8476,120096,"7125 Mullins Cliff
Maryborough, WY 66971",
74533.16208,6.67,13,7,49481.56581,152023,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319",
66422.91905,7.12,5,10,31019.32482,136090,"61090 Griffith Ridges
Craigstad, AK 28807-8602",
74334.49485,5.41,12,6,41640.43566,136092,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483",
63538.34616,4.76,6,8,43282.183,114653,"10973 Clark Trafficway
Meyersbury, LA 63237",
83953.10484,7.38,1,5,37283.35765,178909,"91733 Baker Orchard
South Kyle, KS 37301",
57279.06358,5.11,20,1,44023.79068,852099,"024 William Course
East Charlotteview, DE 69073-3104",
56553.55025,5.69,15,13,29682.40986,746096,"PSC 4455, Box 3268
APO AP 45454",
75795.57598,5.78,11,18,33197.77774,153447,"562 Brown Junction Suite 282
Christopherborough, KS 20719",
70848.78866,5.28,2,18,40458.73587,121560,"USCGC Thompson
FPO AA 13237-3887",
59787.4045,5.65,2,16,32402.10755,941594,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783",
64826.37189,4.01,14,13,60286.0431,120459,"Unit 2139 Box 3667
DPO AP 49517",
65925.8538,7.6,18,16,34171.36007,159765,"253 Golden Island
East Donald, CT 91882",
64419.25264,6.95,3,19,39318.17075,149201,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205",
58544.4603,8.56,10,14,30865.58695,142121,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398",
68791.79169,4.72,3,6,48423.32244,113252,"2833 Townsend Cliffs
New Tommy, MP 86130-3426",
82061.5652,4.18,7,20,36271.4085,110282,"708 Pena Ramp
Terryburgh, CA 31572-1304",
80659.52544,5.43,19,1,52947.03636,185621,"8030 Ruiz Dale
Shermanchester, KY 56950-5684",
66668.09352,6.18,18,6,47075.21223,168799,"Unit 3857 Box 9497
DPO AE 92239",
64721.5645,5.67,12,18,36115.81636,106342,"042 Mitchell Mountains
Adamsview, OR 44424",
65199.98994,6.44,11,11,28366.03543,117728,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759",
74579.98953,4.63,1,2,42806.14664,117347,"38449 Shaw Glen
Pattonside, TX 98415",
76273.67033,7.87,1,17,46974.57879,163725,"82387 Hensley Bypass
Danielmouth, ME 30791",
67561.94206,5.25,13,16,35517.54187,123893,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688",
48904.98327,4.84,16,6,32960.75307,201898,"2124 Garcia Viaduct
North Kellytown, DC 30864",
72145.96721,6.39,5,14,28882.90085,143950,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708",
70805.61068,4.44,14,3,29268.82674,585608,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448",
65383.33792,7.51,8,6,35114.40246,129468,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159",
95450.29309,6.59,5,17,39388.51552,201485,"035 Mark Bridge
West Craig, MT 78649",
73698.69636,6.37,16,3,51815.09642,184023,"69600 Wilson Rue
Elizabethland, PW 17767-2884",
66263.9105,6.37,9,12,49829.9515,144142,"001 Steve Plaza
Jessicastad, UT 25190",
75394.75958,6.93,20,16,22268.07531,149864,"238 Anthony Drive
Acostahaven, AS 62753-6637",
65984.75064,6.51,19,15,21867.47694,954746,"01818 Wilson Spurs
West Andreaton, SD 69568-7005",
66477.26279,6.98,16,9,32458.9867,112463,"95779 Walton Square
Bakershire, PR 49599",
69284.25964,5.34,5,19,40282.72428,116994,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969",
70404.4961,5.54,17,5,37127.9255,111443,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246",
74218.48902,8.06,5,15,46770.66097,178353,"106 Williams Well Apt. 657
Samanthaview, PR 87811",
63441.71465,6.47,13,5,48061.75267,130293,"Unit 3405 Box 4348
DPO AP 68816-2990",
57493.92457,6.89,9,3,47039.21532,124148,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287",
81543.77732,5.5,6,7,9816.300885,954114,"Unit 5889 Box 7282
DPO AE 41177-0399",
78633.97376,5.46,13,3,43728.80349,155532,"075 Andrea Green Suite 201
Johnshire, KS 50389",
52202.85372,4.86,5,5,42165.81246,404976,"6811 Spears Trail Suite 081
East Troy, MS 43910",
67980.38878,5.56,2,7,25909.0792,107318,"69401 Danielle Motorway
New Dennis, IL 53971",
78568.44916,5.47,8,15,41016.64709,142219,"2276 Riley Flats Suite 975
Johnmouth, NH 39983",
55472.65483,4.82,20,18,15353.95643,340605,"91111 Crane Spur
Kathleenmouth, ME 43022-3191",
67579.23479,5.97,3,18,21762.94969,117095,"744 Hill Ports
Mooreside, MH 20945-2825",
61456.1507,6.88,1,2,30821.41209,942838,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176",
60815.39039,7.17,1,2,31233.64935,140161,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788",
51217.18116,5.38,17,17,47089.47508,117550,"USS Harrington
FPO AE 12326",
63027.67471,4.85,1,6,35991.72064,608794,"246 Michele Lock Suite 093
South Michellemouth, VI 62800",
62484.8553,6.49,14,16,26882.65179,946943,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243",
73923.46627,7,9,2,58745.31203,181990,"232 Allen Ridge
West Jasonview, CT 93021",
79737.60976,7.31,6,9,28307.31433,146313,"5042 Ricky Road
New Candice, MN 40661-8809",
63890.47157,4.97,20,8,43416.49782,125239,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346",
67310.03695,7.19,10,13,43310.61243,171444,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307",
73145.73022,4.09,7,17,49463.37888,129175,"8533 Sparks Lodge
New Kevin, GA 98179",
86924.35877,6.83,10,11,28719.41089,180915,"922 Mark Lodge
Matthewton, ID 71131-3139",
74384.10563,7.41,2,1,17117.44367,120053,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985",
67477.78818,6.62,2,10,29763.92535,130026,"PSC 8479, Box 0952
APO AA 33741",
71202.95692,4.31,3,8,34207.39721,997448,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463",
85845.3178,6.74,2,11,46477.67868,215295,"255 Sosa Pines Suite 751
Wilsonview, MT 31615",
72138.87048,7.16,11,12,35799.63827,162998,"156 Conner Lane
East Brittany, MI 26733",
44806.00516,4.49,9,20,57390.89007,497579,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408",
67504.17846,5.32,13,3,37441.12054,890112,"67610 Smith Knolls
Brendaberg, MA 55188-7972",
74706.10053,5,17,1,39680.60932,106468,"504 Robertson Streets
Jamesshire, WA 56754",
68898.34591,6.78,9,10,39515.57156,153012,"777 Ross Crossroad
Kaiserville, RI 24445",
58118.01816,8.13,17,10,35598.39044,124624,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408",
77643.28309,6.07,18,3,35512.25505,124075,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552",
67769.82559,8.07,14,2,33254.60341,176073,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101",
74411.05989,5.53,16,10,43537.50295,139374,"4930 James Flats
New Shannon, NJ 75829-8040",
73101.0788,4.1,18,11,29497.97129,117238,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682",
58708.41716,5.08,19,2,15969.92604,483986,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758",
63876.05991,7.08,2,16,38052.87644,138853,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904",
68343.15409,6.39,15,14,40653.87007,172173,"4746 Morgan Forge
Diaztown, VT 79978",
73064.97996,5.99,5,3,30699.33971,127644,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208",
67367.26808,6.77,1,6,32547.27253,116174,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264",
66547.18175,6.35,17,2,16741.96499,786407,"249 Susan Canyon
North Jessica, ID 13412",
73313.54538,6.41,12,3,37808.99667,160492,"08091 Bush Course
New Michael, RI 47524-7511",
47681.36173,6.89,12,8,50908.97891,123014,"PSC 6933, Box 3805
APO AP 50576",
67910.94913,6.44,14,14,31379.78297,105164,"6798 Smith Junctions
Wolfeton, WY 86565-5079",
69277.89125,6.14,11,1,43717.91309,141507,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763",
67946.71468,5.4,12,12,35197.94257,104348,"68672 Guzman Ridge
Clinefurt, WI 04078-6179",
90975.11327,4.74,13,10,44426.21365,154437,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593",
61885.54644,5.4,16,17,48726.9513,135213,"USCGC Hess
FPO AE 29193",
69401.84722,7.04,4,11,29293.07405,150572,"0617 Neal Curve
South Daniel, AS 09326",
72969.12127,6.18,9,2,31755.72136,141696,"412 Janet Radial Suite 115
Kariview, NY 37073-8343",
75582.45976,5.5,20,7,31946.30387,104672,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399",
56241.22677,5.62,8,3,32745.36812,939040,"3062 Donald Inlet Suite 642
West Matthew, GU 49340",
79412.83547,6.08,5,3,17568.73376,138303,"764 Timothy Turnpike
North Audreymouth, TX 02395",
79618.23685,4.56,14,15,29636.50711,107250,"862 Ryan Flat
West Larryborough, WV 11517",
67019.07405,6.48,17,10,24997.10871,113439,"378 Evans Crest
East Shelbystad, HI 23326",
56063.48087,5.1,11,8,39129.2967,734827,"09897 Katherine Forge
North Johnside, NC 01211",
57077.5803,5.77,12,8,33393.9166,991892,"2367 Noah Center
North Dakotashire, PA 99619-0890",
75954.81825,4.28,8,8,34467.7587,105725,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647",
52575.81517,7.13,2,11,41828.57962,123722,"8803 Jackson Ramp
South Thomasland, RI 09631-6361",
63312.80567,6.13,17,20,43230.35216,144263,"87629 Shawn Crossing
North William, MN 71601-6188",
82526.9621,6.45,1,11,43947.68026,187740,"2574 Shannon Alley
South Fred, OR 64217",
73204.94213,6.64,17,4,35090.50081,139451,"676 Jose Locks Apt. 415
South Cynthia, SC 89264",
56357.19314,5.7,15,17,38061.9983,953939,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160",
71316.62465,7.1,11,1,21651.69941,121977,"26847 Weber Ports Apt. 767
North Robinton, FM 43014",
75046.8482,4.98,2,17,32468.03115,128732,"PSC 8891, Box 6475
APO AP 28726-5123",
84474.16006,6.97,7,2,38677.81515,173989,"623 Jackson Road Apt. 492
Sarahville, NM 19973",
68162.68393,6.96,16,11,31843.87634,121338,"0575 Edward Cliff
Miguelmouth, NY 06408",
62784.33295,7.57,18,16,35122.38947,100747,"6660 Alex Park
Barkerfort, WY 52781",
67009.81567,6.84,11,1,39737.12261,152875,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326",
67437.25036,6.76,3,3,29356.22337,118245,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626",
65967.76931,6.84,9,13,35799.96255,147454,"842 Jackson Parkway
Angelabury, MI 68188-8699",
42816.30589,7.6,13,5,47457.66221,107801,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649",
83347.6697,5.46,20,7,48226.71893,145338,"0647 Ramirez Hill
New Crystalport, AZ 33060",
81699.88,5.47,2,9,39527.04856,149501,"4233 Chase Fields
East Vanessabury, OR 85375-7861",
56143.78866,4.58,16,20,45084.03666,714148,"0606 Ricardo Drive
Williamton, GU 79243",
59513.83492,4.88,10,19,44162.27921,894292,"14157 Jones Parkway Suite 319
North Haley, AK 18534",
78379.41224,5.98,15,19,31357.38821,115984,"2579 Pamela Shoals
North Christianhaven, TX 95259",
70877.37574,6.76,20,4,36033.42685,119598,"PSC 5171, Box 6452
APO AA 44610-4655",
61526.97445,6.59,2,11,27307.94803,138143,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067",
65316.99602,7.41,13,9,55799.49748,153488,"32521 Martinez Highway
Stephaniehaven, NY 78577",
76268.81833,6.94,8,19,38649.85239,149412,"9109 Omar View Suite 461
East Sarahfort, WI 02969",
48531.36423,6.86,5,9,39731.15056,135614,"5611 Chandler Mill
East Brianfort, AK 51236-0093",
82906.6548,5.9,11,12,38820.48194,145494,"PSC 5599, Box 5942
APO AP 55563-1953",
63117.84405,4.94,14,13,43091.84514,774118,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338",
75860.86115,3.69,17,3,41003.88008,889113,"019 Moore Center Apt. 643
West John, KY 54923",
68844.76425,4.86,1,12,48392.49736,121110,"Unit 3192 Box 6415
DPO AP 76779-7624",
52446.26686,5.69,18,12,32934.5532,658646,"20185 Mary Crest
South Reneeville, VI 91892",
69342.70684,5.8,15,3,37082.37422,140010,"18067 Williams Roads Suite 683
South Christineton, CO 76227",
55932.05268,7.21,5,18,42488.31,126201,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132",
53306.92214,4.63,7,3,39063.33871,553077,"9643 Oscar Valley
North Richardstad, ME 14629-9980",
56976.5464,6.06,1,17,46375.50249,120324,"46619 Morgan Squares
Stevenfurt, FM 70548",
51296.48863,6.15,8,18,32078.9068,111532,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414",
63995.00489,7.59,6,12,24748.26827,130188,"USCGC Friedman
FPO AE 57606-0743",
71915.14669,6.27,17,15,27714.29366,100668,"038 Anderson Club Suite 485
Richardsonfort, MA 22267",
62137.59721,5.44,12,20,19045.61951,749383,"014 Shaun Gardens
Lake Todd, HI 08110",
78050.96983,5.23,18,12,27789.74852,107559,"2606 Stout Inlet
Port Brenda, SC 59596-5906",
67371.42086,5.33,9,13,24797.76476,739870,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902",
59362.76638,7.48,17,12,44723.35373,144294,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228",
57003.10964,7.01,8,10,29594.69337,828497,"089 Jessica Dale
West Melissa, PW 59364",
68989.31221,6.07,8,11,32629.60383,137329,"USNS Hamilton
FPO AA 90003",
70969.9021,4.9,3,10,24833.64615,925566,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795",
82251.65301,7.74,10,5,18408.79864,155253,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868",
71306.4573,5.77,18,2,43284.39716,133590,"3890 Hunt Trail
Davidhaven, OR 04793",
70921.56857,5.66,18,10,29390.21727,960808,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814",
70739.4601,6.71,3,8,35148.66775,140593,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433",
58097.84182,6.38,12,7,19903.00008,619087,"31995 Moore Brook
New Melissa, MO 19787",
51273.50885,7.03,2,14,53811.89491,132927,"Unit 5683 Box 5483
DPO AA 78774-2982",
76326.59232,5.02,3,6,42779.8313,126184,"77194 Carlson Causeway Apt. 904
West John, KY 70976",
63584.04588,5.83,1,13,46340.18858,117578,"73601 Donaldson Squares
Port John, VI 73473",
86340.28729,4.93,19,7,35630.56045,143705,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033",
79471.23882,5.86,6,15,36616.16883,159441,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442",
55879.50379,6.4,20,19,37360.06356,931357,"54993 James Place Suite 797
South Kenneth, CA 86457-1211",
40503.54133,6.88,5,20,45979.47754,798639,"6799 Downs Plaza
Randallberg, NH 17910-5241",
83394.40783,5.6,11,7,30487.52462,145173,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110",
64501.22645,6,7,16,43869.30998,127899,"8173 Rush Wells
New Stephanie, MS 56356",
59569.53734,6.27,12,16,31294.65246,885920,"762 Corey Landing Suite 528
Billymouth, AZ 48958",
69280.31627,6.86,7,18,40290.91149,142563,"077 Laura Curve
New Christopherview, AZ 15138",
66342.48968,5.85,14,3,11792.81516,901881,"5342 Dean Overpass
Matthewville, MI 08613",
73367.04599,6.17,8,9,23684.78795,152173,"469 William Shore Suite 726
South Krystalchester, MP 47720",
57122.22484,5.7,8,17,41972.77154,716771,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285",
61978.84805,7.91,17,2,56957.18775,169671,"017 Bowers Field
Williamsstad, OK 15934-8122",
54299.96882,6.63,20,4,39512.66371,819598,"05946 Wong Spur
Susanshire, NY 67746-2473",
71424.40601,5.59,15,16,37242.56159,158421,"9297 Cole Highway
Patrickhaven, DC 02945-8988",
57353.15436,8.07,18,5,16906.42172,798892,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496",
44731.1098,4.18,12,13,39633.47304,601973,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214",
76175.49393,4.52,15,9,30760.99496,145648,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191",
66574.70999,5.55,15,15,69575.44946,170240,"551 Macdonald Viaduct
West Stephanie, TN 55360",
91731.15438,5.18,13,4,33102.09542,156647,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106",
75487.0326,6.45,5,19,41105.39063,159221,"5036 Peterson Throughway
East Megan, GA 08456-4696",
58088.43813,6.01,16,15,51925.41161,937628,"Unit 5584 Box 2763
DPO AE 40544",
76319.2186,6.87,11,1,48026.30837,155854,"09437 Carolyn Mountain
Knappview, CA 70608-7504",
60575.16244,5.9,7,1,32158.9679,115632,"5052 Chloe Lights Apt. 374
North Scott, IA 81431",
69607.13367,7.07,14,7,34609.04022,151434,"8781 Robert Lakes Suite 880
East Wendy, ID 51813",
67056.84048,5.22,9,13,25134.68148,103910,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399",
60640.93188,5.16,5,7,43119.54066,809089,"0956 Isabella Lodge
East Valeriefurt, CO 64441",
69031.90888,5.77,11,3,15660.40301,675536,"36736 Kristi Radial
Port Carl, ID 35292-9269",
80356.20939,4.66,1,3,16215.41728,137358,"10492 Reed Track
North Ericstad, IA 78774-8363",
60081.17662,6.76,20,20,60195.74627,169009,"Unit 6269 Box 9041
DPO AE 13073",
61881.47931,6.51,15,11,35597.37289,125337,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878",
59590.96529,6.89,11,17,24153.88252,774073,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260",
89831.31929,5.2,15,8,45335.36028,174195,"77610 Evan Field Apt. 712
West Shannonland, WI 30751",
72175.2835,7.42,15,10,50305.79541,170576,"11385 Thomas Ford
New Karinaton, HI 01691-9923",
67589.04884,6.21,20,8,33203.38392,107110,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310",
77300.03144,5.26,1,6,29499.04095,111804,"039 Chan Meadows
South Amandahaven, TN 78068",
65382.88832,5.39,16,8,41723.05474,116525,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622",
71145.2127,6.15,1,7,35642.53034,128091,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205",
61053.038,5.78,12,7,40675.77383,841122,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595",
65125.94787,5.92,7,4,37642.78527,122881,"90043 White Lane Apt. 673
Williamburgh, DE 67265",
51949.2957,6.2,16,2,35336.06305,108607,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342",
75897.98884,5.31,1,5,34162.67061,120437,"17853 Michael Motorway
Danielfurt, MH 28095",
71468.3505,6.15,14,10,43269.03337,134500,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752",
53287.99207,5.75,5,6,45152.01427,111690,"0205 Rose Crescent
East Ritaside, MD 10967",
61503.0406,5.13,7,17,37650.86971,822431,"18941 Ray Ports
East Nicoleland, OR 67363",
68896.04856,6.38,18,15,28394.60978,136062,"1515 Watson Fort
Christopherberg, MP 90562",
91159.41833,6.53,19,9,54861.0911,229837,"170 Smith Wall
South Christopherhaven, AZ 87521",
63375.34848,6.67,5,15,45633.19224,140049,"064 Kaufman River
Danielburgh, CO 09090",
59695.57147,5.44,2,13,20702.80267,566848,"295 Angela Harbors
East Patriciaburgh, GA 95388",
63183.88974,5.57,8,20,58691.20066,136758,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559",
61177.80813,6.99,1,20,26396.29111,111337,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095",
58642.31122,5.2,9,7,35131.57815,721974,"6163 Michael Orchard
Gallagherborough, GA 48395",
53112.27806,5.13,15,13,40367.38387,685503,"4158 Drew Plains Apt. 975
Ericaview, MP 60784",
40366.61629,4.9,12,9,16349.36539,152071,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514",
62207.47581,7.29,18,19,34317.53831,128043,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121",
57477.95076,5.4,11,18,23649.96887,568703,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812",
55630.48896,6.28,16,3,38943.09599,120076,"3407 Preston Pine
East Mark, NY 86626-3319",
