Avg. Area Income;Avg. Area House Age;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price;Address
Lewisfort;" DE 61227""";;;;;
8.217.362.608;4.01;11;6;3.885.391.807;1125;3599 Ramirez Springs
Jacksonhaven;" AZ 72798""";;;;;
6.462.688.098;5.44;15;10;2.778.474.228;9754;073 Christopher Falls Suite 882
West Cynthia;" MA 89075-2814""";;;;;
9.049.905.745;6.38;12;6;3.397.016.499;1240;6531 Chase Prairie Apt. 245
Susanshire;" MN 22365""";;;;;
593.237.921;6.97;2;9;3.752.065.773;1577;17124 Johnson Squares
Lake Robertfurt;" AL 61811-3832""";;;;;
7.781.152.203;5.31;8;15;337.547.378;1246;1359 Mitchell Vista
Courtneyfort;" NY 93065-7224""";;;;;
6.865.260.921;6.12;1;2;3.935.562.573;1170;4343 Joshua Lake Suite 096
Pierceview;" NV 62614-9110""";;;;;
5.504.135.158;7.12;6;2;3.012.247.348;1071;0057 Jacob Coves Apt. 932
Lake Emily;" VA 39465-6041""";;;;;
5.021.870.846;6.11;2;8;1.681.078.331;5343;039 Jordan Pike
Emilyville;" ID 27442""";;;;;
559.093.223;5.41;19;2;2.235.523.541;9363;66338 Novak Curve Suite 628
Taylorborough;" OK 87142-6766""";;;;;
7.437.281.021;5.5;1;4;3.939.515.118;1199;7167 Angela Park Suite 013
Morrishaven;" NH 66937-4811""";;;;;
786.679.046;5.47;7;10;2.763.765.655;1233;34964 Sara Fields Apt. 584
Port Raymondville;" MO 63585""";;;;;
786.995.151;5.65;2;7;2.283.660.757;1081;7585 Lynn Loop
East Judy;" WV 73336""";;;;;
5.312.818.545;5.18;17;7;3.294.771.196;5247;Unit 1388 Box 9350
"DPO AP 70848""";;;;;;
1.779.663.119;4.94;2;7;4.716.218.364;3023;9932 Eric Circles
Lake Martha;" WY 34611-6127""";;;;;
5.856.684.936;6.57;10;2;3.970.546.496;1026;7896 Walker Spring
Loriport;" MH 72956""";;;;;
7.553.779.451;7.84;1;5;3.277.819.534;1762;549 Darren Plaza
Lake Kevin;" UT 27155""";;;;;
4.614.705.306;6.62;8;11;2.716.112.861;8820;90634 Michelle Valleys
North Victoria;" WV 99370""";;;;;
7.042.147.649;6.9;4;4;4.318.392.849;1744;580 Lara Neck Apt. 541
Davidsonstad;" ID 34638-9802""";;;;;
6.261.442.062;5.49;11;20;2.688.857.956;1153;43087 Jerome Field
West Deborah;" SD 49213""";;;;;
6.639.487.159;7.06;15;4;3.974.107.751;1499;71956 Jenkins Fall
Brooketown;" PW 67485-0764""";;;;;
7.394.685.107;4.86;18;17;3.526.112.702;1109;8034 Pierce Prairie Suite 727
Devonfurt;" NE 33104-8027""";;;;;
6.914.474.571;7.29;1;4;1.903.061.549;9801;Unit 8108 Box 5159
"DPO AP 04678""";;;;;;
7.727.869.703;6.23;18;8;2.172.595.429;1323;08639 Garcia Port
Anthonybury;" CT 17971""";;;;;
8.675.419.663;6.6;19;13;4.301.744.076;1662;91863 Curtis Point
New Richard;" AK 99996-7554""";;;;;
7.439.984.098;6.38;6;5;4.108.466.282;1417;03819 Lee Junction Suite 046
Mooneyborough;" WA 19656""";;;;;
4.940.819.834;5.82;2;8;268.811.306;5499;7796 Joseph Burg
Danielsside;" RI 70370""";;;;;
6.227.979.005;6.1;13;19;3.526.365.314;1054;173 Mendoza Land
West John;" NJ 57690""";;;;;
7.307.820.409;5.92;11;4;5.491.596.178;1415;3288 Lee Pass
South Julieton;" PW 02759-4964""";;;;;
7.294.270.506;4.78;12;10;2.437.790.905;9487;86908 Marshall Port Suite 252
Scotttown;" NM 69143""";;;;;
6.381.962.285;5.94;13;20;2.782.557.206;1159;951 Bryant Dale Suite 735
Lake Jacqueline;" NH 95266""";;;;;
7.326.544.989;8.31;3;2;2.103.096.618;1547;00301 Bradshaw Avenue Suite 833
Suzannefurt;" IN 00654-8754""";;;;;
6.848.813.117;6.11;8;10;1.826.795.471;1186;84473 Ochoa Pines Apt. 808
Jamesport;" KY 70207-2955""";;;;;
5.519.385.745;7.18;7;9;3.253.781.877;7721;13706 Morgan Turnpike Suite 378
Hohaven;" NC 42699""";;;;;
7.743.468.924;6.3;7;15;3.625.234.068;1172;4872 Delgado Ramp
North James;" IA 36544""";;;;;
6.615.888.159;4.47;11;15;3.709.874.217;1111;73202 Christopher Tunnel
New Roberttown;" MN 08925-1536""";;;;;
6.050.290.933;7.53;11;12;3.357.963.151;1022;8781 Olivia Port Apt. 225
Thompsonside;" VT 22884""";;;;;
6.091.089.379;5.63;12;9;43.347.804;1274;PSC 9354, Box 0703
"APO AA 58696-1278""";;;;;;
7.393.197.852;6.39;2;7;3.654.306.728;1213;271 Johnson Hills Apt. 001
Mcculloughfurt;" FM 70847""";;;;;
5.953.994.845;6.01;11;10;5.860.082.715;1411;122 Russo Neck
South Kevin;" KY 20712-5282""";;;;;
5.654.750.719;5.43;10;6;3.758.527.458;8586;85225 Christopher Inlet Apt. 627
West Calebberg;" KS 76460""";;;;;
6.595.034.702;5.47;18;13;401.108.476;1200;7125 Mullins Cliff
Maryborough;" WY 66971""";;;;;
7.453.316.208;6.67;13;7;4.948.156.581;1520;905 Lane Pines Suite 348
Brownborough;" DE 57196-3319""";;;;;
6.642.291.905;7.12;5;10;3.101.932.482;1360;61090 Griffith Ridges
Craigstad;" AK 28807-8602""";;;;;
7.433.449.485;5.41;12;6;4.164.043.566;1360;270 Jennifer Loop Suite 343
South Jesse;" ND 60570-1483""";;;;;
6.353.834.616;4.76;6;8;43.282.183;1146;10973 Clark Trafficway
Meyersbury;" LA 63237""";;;;;
8.395.310.484;7.38;1;5;3.728.335.765;1789;91733 Baker Orchard
South Kyle;" KS 37301""";;;;;
5.727.906.358;5.11;20;1;4.402.379.068;8520;024 William Course
East Charlotteview;" DE 69073-3104""";;;;;
5.655.355.025;5.69;15;13;2.968.240.986;7460;PSC 4455, Box 3268
"APO AP 45454""";;;;;;
7.579.557.598;5.78;11;18;3.319.777.774;1534;562 Brown Junction Suite 282
Christopherborough;" KS 20719""";;;;;
7.084.878.866;5.28;2;18;4.045.873.587;1215;USCGC Thompson
"FPO AA 13237-3887""";;;;;;
597.874.045;5.65;2;16;3.240.210.755;9415;65884 Johns Valley Apt. 621
Ethanbury;" NY 07783""";;;;;
6.482.637.189;4.01;14;13;602.860.431;1204;Unit 2139 Box 3667
"DPO AP 49517""";;;;;;
659.258.538;7.6;18;16;3.417.136.007;1597;253 Golden Island
East Donald;" CT 91882""";;;;;
6.441.925.264;6.95;3;19;3.931.817.075;1492;4861 Steven Plains Suite 066
Port Reginaland;" MN 06152-7205""";;;;;
585.444.603;8.56;10;14;3.086.558.695;1421;5255 Rebecca Junctions Suite 240
Royshire;" WI 85782-2398""";;;;;
6.879.179.169;4.72;3;6;4.842.332.244;1132;2833 Townsend Cliffs
New Tommy;" MP 86130-3426""";;;;;
820.615.652;4.18;7;20;362.714.085;1102;708 Pena Ramp
Terryburgh;" CA 31572-1304""";;;;;
8.065.952.544;5.43;19;1;5.294.703.636;1856;8030 Ruiz Dale
Shermanchester;" KY 56950-5684""";;;;;
6.666.809.352;6.18;18;6;4.707.521.223;1687;Unit 3857 Box 9497
"DPO AE 92239""";;;;;;
647.215.645;5.67;12;18;3.611.581.636;1063;042 Mitchell Mountains
Adamsview;" OR 44424""";;;;;
6.519.998.994;6.44;11;11;2.836.603.543;1177;07420 Victoria Trail Apt. 904
Port Kevinbury;" OR 86759""";;;;;
7.457.998.953;4.63;1;2;4.280.614.664;1173;38449 Shaw Glen
Pattonside;" TX 98415""";;;;;
7.627.367.033;7.87;1;17;4.697.457.879;1637;82387 Hensley Bypass
Danielmouth;" ME 30791""";;;;;
6.756.194.206;5.25;13;16;3.551.754.187;1238;02304 Brandon Stravenue Apt. 231
Cordovabury;" ID 36688""";;;;;
4.890.498.327;4.84;16;6;3.296.075.307;2018;2124 Garcia Viaduct
North Kellytown;" DC 30864""";;;;;
7.214.596.721;6.39;5;14;2.888.290.085;1439;646 Nicholas Mall Apt. 058
East Danielle;" OR 53708""";;;;;
7.080.561.068;4.44;14;3;2.926.882.674;5856;874 Laura Throughway Suite 350
Port Michaelberg;" PW 94284-9448""";;;;;
6.538.333.792;7.51;8;6;3.511.440.246;1294;7373 Hart Brooks Apt. 168
East Christianside;" PR 72679-9159""";;;;;
9.545.029.309;6.59;5;17;3.938.851.552;2014;035 Mark Bridge
West Craig;" MT 78649""";;;;;
7.369.869.636;6.37;16;3;5.181.509.642;1840;69600 Wilson Rue
Elizabethland;" PW 17767-2884""";;;;;
662.639.105;6.37;9;12;498.299.515;1441;001 Steve Plaza
Jessicastad;" UT 25190""";;;;;
7.539.475.958;6.93;20;16;2.226.807.531;1498;238 Anthony Drive
Acostahaven;" AS 62753-6637""";;;;;
6.598.475.064;6.51;19;15;2.186.747.694;9547;01818 Wilson Spurs
West Andreaton;" SD 69568-7005""";;;;;
6.647.726.279;6.98;16;9;324.589.867;1124;95779 Walton Square
Bakershire;" PR 49599""";;;;;
6.928.425.964;5.34;5;19;4.028.272.428;1169;124 Russell Mountains Apt. 591
North Sharonfurt;" OH 67836-4969""";;;;;
704.044.961;5.54;17;5;371.279.255;1114;73080 Veronica Turnpike Suite 991
New Debra;" VA 61246""";;;;;
7.421.848.902;8.06;5;15;4.677.066.097;1783;106 Williams Well Apt. 657
Samanthaview;" PR 87811""";;;;;
6.344.171.465;6.47;13;5;4.806.175.267;1302;Unit 3405 Box 4348
"DPO AP 68816-2990""";;;;;;
5.749.392.457;6.89;9;3;4.703.921.532;1241;4007 Kimberly Crossing
Nathanielview;" NC 72093-8287""";;;;;
8.154.377.732;5.5;6;7;9.816.300.885;9541;Unit 5889 Box 7282
"DPO AE 41177-0399""";;;;;;
7.863.397.376;5.46;13;3;4.372.880.349;1555;075 Andrea Green Suite 201
Johnshire;" KS 50389""";;;;;
5.220.285.372;4.86;5;5;4.216.581.246;4049;6811 Spears Trail Suite 081
East Troy;" MS 43910""";;;;;
6.798.038.878;5.56;2;7;259.090.792;1073;69401 Danielle Motorway
New Dennis;" IL 53971""";;;;;
7.856.844.916;5.47;8;15;4.101.664.709;1422;2276 Riley Flats Suite 975
Johnmouth;" NH 39983""";;;;;
5.547.265.483;4.82;20;18;1.535.395.643;3406;91111 Crane Spur
Kathleenmouth;" ME 43022-3191""";;;;;
6.757.923.479;5.97;3;18;2.176.294.969;1170;744 Hill Ports
Mooreside;" MH 20945-2825""";;;;;
614.561.507;6.88;1;2;3.082.141.209;9428;019 Lisa Village Apt. 379
Maxwellmouth;" DE 26176""";;;;;
6.081.539.039;7.17;1;2;3.123.364.935;1401;50933 Barber Divide Suite 927
Jacksonborough;" NE 46696-1788""";;;;;
5.121.718.116;5.38;17;17;4.708.947.508;1175;USS Harrington
"FPO AE 12326""";;;;;;
6.302.767.471;4.85;1;6;3.599.172.064;6087;246 Michele Lock Suite 093
South Michellemouth;" VI 62800""";;;;;
624.848.553;6.49;14;16;2.688.265.179;9469;356 Madeline Locks Apt. 115
Kaitlinland;" MS 49150-0243""";;;;;
7.392.346.627;7;9;2;5.874.531.203;1819;232 Allen Ridge
West Jasonview;" CT 93021""";;;;;
7.973.760.976;7.31;6;9;2.830.731.433;1463;5042 Ricky Road
New Candice;" MN 40661-8809""";;;;;
6.389.047.157;4.97;20;8;4.341.649.782;1252;60860 Griffin Streets Apt. 040
East Catherine;" NH 18346""";;;;;
6.731.003.695;7.19;10;13;4.331.061.243;1714;89002 Robert Square Suite 028
Port Jennyside;" CA 38546-6307""";;;;;
7.314.573.022;4.09;7;17;4.946.337.888;1291;8533 Sparks Lodge
New Kevin;" GA 98179""";;;;;
8.692.435.877;6.83;10;11;2.871.941.089;1809;922 Mark Lodge
Matthewton;" ID 71131-3139""";;;;;
7.438.410.563;7.41;2;1;1.711.744.367;1200;757 Sherri Shores Suite 744
Jesusfurt;" OK 73052-4985""";;;;;
6.747.778.818;6.62;2;10;2.976.392.535;1300;PSC 8479, Box 0952
"APO AA 33741""";;;;;;
7.120.295.692;4.31;3;8;3.420.739.721;9974;5560 Michaela Spur Suite 730
West Charlottefurt;" PA 00463""";;;;;
858.453.178;6.74;2;11;4.647.767.868;2152;255 Sosa Pines Suite 751
Wilsonview;" MT 31615""";;;;;
7.213.887.048;7.16;11;12;3.579.963.827;1629;156 Conner Lane
East Brittany;" MI 26733""";;;;;
4.480.600.516;4.49;9;20;5.739.089.007;4975;478 Vasquez Fort Apt. 346
Aliciaside;" NV 37124-6408""";;;;;
6.750.417.846;5.32;13;3;3.744.112.054;8901;67610 Smith Knolls
Brendaberg;" MA 55188-7972""";;;;;
7.470.610.053;5;17;1;3.968.060.932;1064;504 Robertson Streets
Jamesshire;" WA 56754""";;;;;
6.889.834.591;6.78;9;10;3.951.557.156;1530;777 Ross Crossroad
Kaiserville;" RI 24445""";;;;;
5.811.801.816;8.13;17;10;3.559.839.044;1246;2418 Samantha Green Apt. 016
Port Keithmouth;" VT 62207-0408""";;;;;
7.764.328.309;6.07;18;3;3.551.225.505;1240;95957 Tara Hill Suite 428
Huntland;" KS 57002-5552""";;;;;
6.776.982.559;8.07;14;2;3.325.460.341;1760;26906 Simmons Underpass Suite 444
Port Tinashire;" DC 13101""";;;;;
7.441.105.989;5.53;16;10;4.353.750.295;1393;4930 James Flats
New Shannon;" NJ 75829-8040""";;;;;
731.010.788;4.1;18;11;2.949.797.129;1172;78212 Turner Ville Apt. 217
West Lauraberg;" MP 47353-3682""";;;;;
5.870.841.716;5.08;19;2;1.596.992.604;4839;33410 Smith Summit
West Kimberlyberg;" CT 49785-3758""";;;;;
6.387.605.991;7.08;2;16;3.805.287.644;1388;49940 Ramirez Mission Suite 136
West Bryan;" MD 95291-3904""";;;;;
6.834.315.409;6.39;15;14;4.065.387.007;1721;4746 Morgan Forge
Diaztown;" VT 79978""";;;;;
7.306.497.996;5.99;5;3;3.069.933.971;1276;5808 Burton Viaduct
North Nicholasport;" CO 32392-1208""";;;;;
6.736.726.808;6.77;1;6;3.254.727.253;1161;8093 Lara Overpass Apt. 364
Lake Brookebury;" NV 30264""";;;;;
6.654.718.175;6.35;17;2;1.674.196.499;7864;249 Susan Canyon
North Jessica;" ID 13412""";;;;;
7.331.354.538;6.41;12;3;3.780.899.667;1604;08091 Bush Course
New Michael;" RI 47524-7511""";;;;;
4.768.136.173;6.89;12;8;5.090.897.891;1230;PSC 6933, Box 3805
"APO AP 50576""";;;;;;
6.791.094.913;6.44;14;14;3.137.978.297;1051;6798 Smith Junctions
Wolfeton;" WY 86565-5079""";;;;;
6.927.789.125;6.14;11;1;4.371.791.309;1415;256 Sanchez Ports Apt. 057
Johnmouth;" PA 69763""";;;;;
6.794.671.468;5.4;12;12;3.519.794.257;1043;68672 Guzman Ridge
Clinefurt;" WI 04078-6179""";;;;;
9.097.511.327;4.74;13;10;4.442.621.365;1544;4447 Steven River Suite 076
West Karenmouth;" DC 61561-8593""";;;;;
6.188.554.644;5.4;16;17;487.269.513;1352;USCGC Hess
"FPO AE 29193""";;;;;;
6.940.184.722;7.04;4;11;2.929.307.405;1505;0617 Neal Curve
South Daniel;" AS 09326""";;;;;
7.296.912.127;6.18;9;2;3.175.572.136;1416;412 Janet Radial Suite 115
Kariview;" NY 37073-8343""";;;;;
7.558.245.976;5.5;20;7;3.194.630.387;1046;9155 Kayla Station Suite 233
Natalieborough;" SC 99093-8399""";;;;;
5.624.122.677;5.62;8;3;3.274.536.812;9390;3062 Donald Inlet Suite 642
West Matthew;" GU 49340""";;;;;
7.941.283.547;6.08;5;3;1.756.873.376;1383;764 Timothy Turnpike
North Audreymouth;" TX 02395""";;;;;
7.961.823.685;4.56;14;15;2.963.650.711;1072;862 Ryan Flat
West Larryborough;" WV 11517""";;;;;
6.701.907.405;6.48;17;10;2.499.710.871;1134;378 Evans Crest
East Shelbystad;" HI 23326""";;;;;
5.606.348.087;5.1;11;8;391.292.967;7348;09897 Katherine Forge
North Johnside;" NC 01211""";;;;;
570.775.803;5.77;12;8;333.939.166;9918;2367 Noah Center
North Dakotashire;" PA 99619-0890""";;;;;
7.595.481.825;4.28;8;8;344.677.587;1057;19678 Noble Cove Suite 264
South Elizabethfort;" CO 13304-1647""";;;;;
5.257.581.517;7.13;2;11;4.182.857.962;1237;8803 Jackson Ramp
South Thomasland;" RI 09631-6361""";;;;;
6.331.280.567;6.13;17;20;4.323.035.216;1442;87629 Shawn Crossing
North William;" MN 71601-6188""";;;;;
825.269.621;6.45;1;11;4.394.768.026;1877;2574 Shannon Alley
South Fred;" OR 64217""";;;;;
7.320.494.213;6.64;17;4;3.509.050.081;1394;676 Jose Locks Apt. 415
South Cynthia;" SC 89264""";;;;;
5.635.719.314;5.7;15;17;380.619.983;9539;4160 Martinez Bridge Apt. 713
West Ann;" MI 89447-0160""";;;;;
7.131.662.465;7.1;11;1;2.165.169.941;1219;26847 Weber Ports Apt. 767
North Robinton;" FM 43014""";;;;;
750.468.482;4.98;2;17;3.246.803.115;1287;PSC 8891, Box 6475
"APO AP 28726-5123""";;;;;;
8.447.416.006;6.97;7;2;3.867.781.515;1739;623 Jackson Road Apt. 492
Sarahville;" NM 19973""";;;;;
6.816.268.393;6.96;16;11;3.184.387.634;1213;0575 Edward Cliff
Miguelmouth;" NY 06408""";;;;;
6.278.433.295;7.57;18;16;3.512.238.947;1007;6660 Alex Park
Barkerfort;" WY 52781""";;;;;
6.700.981.567;6.84;11;1;3.973.712.261;1528;176 Parker Grove Apt. 591
Nicoleshire;" MO 83183-5326""";;;;;
6.743.725.036;6.76;3;3;2.935.622.337;1182;203 Amy Ford Suite 158
Kelleyfurt;" LA 49990-9626""";;;;;
6.596.776.931;6.84;9;13;3.579.996.255;1474;842 Jackson Parkway
Angelabury;" MI 68188-8699""";;;;;
4.281.630.589;7.6;13;5;4.745.766.221;1078;5339 Charles Road Apt. 570
East Angelicastad;" PR 36295-7649""";;;;;
833.476.697;5.46;20;7;4.822.671.893;1453;0647 Ramirez Hill
New Crystalport;" AZ 33060""";;;;;
81699.88;5.47;2;9;3.952.704.856;1495;4233 Chase Fields
East Vanessabury;" OR 85375-7861""";;;;;
5.614.378.866;4.58;16;20;4.508.403.666;7141;0606 Ricardo Drive
Williamton;" GU 79243""";;;;;
5.951.383.492;4.88;10;19;4.416.227.921;8942;14157 Jones Parkway Suite 319
North Haley;" AK 18534""";;;;;
7.837.941.224;5.98;15;19;3.135.738.821;1159;2579 Pamela Shoals
North Christianhaven;" TX 95259""";;;;;
7.087.737.574;6.76;20;4;3.603.342.685;1195;PSC 5171, Box 6452
"APO AA 44610-4655""";;;;;;
6.152.697.445;6.59;2;11;2.730.794.803;1381;23682 William Glens Apt. 920
Lake Hollystad;" CO 20067""";;;;;
6.531.699.602;7.41;13;9;5.579.949.748;1534;32521 Martinez Highway
Stephaniehaven;" NY 78577""";;;;;
7.626.881.833;6.94;8;19;3.864.985.239;1494;9109 Omar View Suite 461
East Sarahfort;" WI 02969""";;;;;
4.853.136.423;6.86;5;9;3.973.115.056;1356;5611 Chandler Mill
East Brianfort;" AK 51236-0093""";;;;;
829.066.548;5.9;11;12;3.882.048.194;1454;PSC 5599, Box 5942
"APO AP 55563-1953""";;;;;;
6.311.784.405;4.94;14;13;4.309.184.514;7741;2128 Shawna Orchard Suite 992
New Melissabury;" MN 22338""";;;;;
7.586.086.115;3.69;17;3;4.100.388.008;8891;019 Moore Center Apt. 643
West John;" KY 54923""";;;;;
6.884.476.425;4.86;1;12;4.839.249.736;1211;Unit 3192 Box 6415
"DPO AP 76779-7624""";;;;;;
5.244.626.686;5.69;18;12;329.345.532;6586;20185 Mary Crest
South Reneeville;" VI 91892""";;;;;
6.934.270.684;5.8;15;3;3.708.237.422;1400;18067 Williams Roads Suite 683
South Christineton;" CO 76227""";;;;;
5.593.205.268;7.21;5;18;42488.31;1262;089 Wilson Forks Suite 185
East Gina;" PA 98785-6132""";;;;;
5.330.692.214;4.63;7;3;3.906.333.871;5530;9643 Oscar Valley
North Richardstad;" ME 14629-9980""";;;;;
569.765.464;6.06;1;17;4.637.550.249;1203;46619 Morgan Squares
Stevenfurt;" FM 70548""";;;;;
5.129.648.863;6.15;8;18;320.789.068;1115;407 Silva Inlet Apt. 301
East Carolmouth;" SC 73414""";;;;;
6.399.500.489;7.59;6;12;2.474.826.827;1301;USCGC Friedman
"FPO AE 57606-0743""";;;;;;
7.191.514.669;6.27;17;15;2.771.429.366;1006;038 Anderson Club Suite 485
Richardsonfort;" MA 22267""";;;;;
6.213.759.721;5.44;12;20;1.904.561.951;7493;014 Shaun Gardens
Lake Todd;" HI 08110""";;;;;
7.805.096.983;5.23;18;12;2.778.974.852;1075;2606 Stout Inlet
Port Brenda;" SC 59596-5906""";;;;;
6.737.142.086;5.33;9;13;2.479.776.476;7398;94952 Hall Cliffs Suite 366
West Jessica;" MT 23902""";;;;;
5.936.276.638;7.48;17;12;4.472.335.373;1442;8581 Johnson Ranch Apt. 905
Jacquelinefurt;" MH 08716-8228""";;;;;
5.700.310.964;7.01;8;10;2.959.469.337;8284;089 Jessica Dale
West Melissa;" PW 59364""";;;;;
6.898.931.221;6.07;8;11;3.262.960.383;1373;USNS Hamilton
"FPO AA 90003""";;;;;;
709.699.021;4.9;3;10;2.483.364.615;9255;8016 Hicks Alley Apt. 735
Nicoleside;" WV 73615-4795""";;;;;
8.225.165.301;7.74;10;5;1.840.879.864;1552;04952 Michael Terrace Apt. 414
Port Tammy;" GA 56924-1868""";;;;;
713.064.573;5.77;18;2;4.328.439.716;1335;3890 Hunt Trail
Davidhaven;" OR 04793""";;;;;
7.092.156.857;5.66;18;10;2.939.021.727;9608;8398 Sanchez Gateway Suite 937
Mccoyburgh;" PA 32814""";;;;;
707.394.601;6.71;3;8;3.514.866.775;1405;67095 Jeffrey Islands Suite 573
West Elizabeth;" MI 33061-9433""";;;;;
5.809.784.182;6.38;12;7;1.990.300.008;6190;31995 Moore Brook
New Melissa;" MO 19787""";;;;;
5.127.350.885;7.03;2;14;5.381.189.491;1329;Unit 5683 Box 5483
"DPO AA 78774-2982""";;;;;;
7.632.659.232;5.02;3;6;427.798.313;1261;77194 Carlson Causeway Apt. 904
West John;" KY 70976""";;;;;
6.358.404.588;5.83;1;13;4.634.018.858;1175;73601 Donaldson Squares
Port John;" VI 73473""";;;;;
8.634.028.729;4.93;19;7;3.563.056.045;1437;6864 Michelle Field Apt. 339
Madisonmouth;" KY 99033""";;;;;
7.947.123.882;5.86;6;15;3.661.616.883;1594;35165 Haley Falls Suite 341
South Elizabeth;" VT 29143-4442""";;;;;
5.587.950.379;6.4;20;19;3.736.006.356;9313;54993 James Place Suite 797
South Kenneth;" CA 86457-1211""";;;;;
4.050.354.133;6.88;5;20;4.597.947.754;7986;6799 Downs Plaza
Randallberg;" NH 17910-5241""";;;;;
8.339.440.783;5.6;11;7;3.048.752.462;1451;79098 Brandon Island Suite 624
Horneshire;" MA 35281-8110""";;;;;
6.450.122.645;6;7;16;4.386.930.998;1278;8173 Rush Wells
New Stephanie;" MS 56356""";;;;;
5.956.953.734;6.27;12;16;3.129.465.246;8859;762 Corey Landing Suite 528
Billymouth;" AZ 48958""";;;;;
6.928.031.627;6.86;7;18;4.029.091.149;1425;077 Laura Curve
New Christopherview;" AZ 15138""";;;;;
6.634.248.968;5.85;14;3;1.179.281.516;9018;5342 Dean Overpass
Matthewville;" MI 08613""";;;;;
7.336.704.599;6.17;8;9;2.368.478.795;1521;469 William Shore Suite 726
South Krystalchester;" MP 47720""";;;;;
5.712.222.484;5.7;8;17;4.197.277.154;7167;566 Brown Grove Apt. 886
Cardenasmouth;" IN 87042-1285""";;;;;
6.197.884.805;7.91;17;2;5.695.718.775;1696;017 Bowers Field
Williamsstad;" OK 15934-8122""";;;;;
5.429.996.882;6.63;20;4;3.951.266.371;8195;05946 Wong Spur
Susanshire;" NY 67746-2473""";;;;;
7.142.440.601;5.59;15;16;3.724.256.159;1584;9297 Cole Highway
Patrickhaven;" DC 02945-8988""";;;;;
5.735.315.436;8.07;18;5;1.690.642.172;7988;88404 William Cape Apt. 249
Dawsonhaven;" MA 21219-3496""";;;;;
447.311.098;4.18;12;13;3.963.347.304;6019;4896 Jennifer River Apt. 180
Shafferberg;" MN 77619-4214""";;;;;
7.617.549.393;4.52;15;9;3.076.099.496;1456;82014 Stanton Gardens Suite 664
Lake Dawnborough;" DC 86197-4191""";;;;;
6.657.470.999;5.55;15;15;6.957.544.946;1702;551 Macdonald Viaduct
West Stephanie;" TN 55360""";;;;;
9.173.115.438;5.18;13;4;3.310.209.542;1566;860 Thompson Skyway Suite 901
Kimshire;" AR 37353-5106""";;;;;
754.870.326;6.45;5;19;4.110.539.063;1592;5036 Peterson Throughway
